team,win,bot_support_win_mean,bot_support_win_std,bot_support_win_skew,bot_support_level,bot_support_hot_streak,bot_carry_win_mean,bot_carry_win_std,bot_carry_win_skew,bot_carry_level,bot_carry_hot_streak,mid_win_mean,mid_win_std,mid_win_skew,mid_level,mid_hot_streak,jungle_win_mean,jungle_win_std,jungle_win_skew,jungle_level,jungle_hot_streak,top_win_mean,top_win_std,top_win_skew,top_level,top_hot_streak
200,Fail,0.48616600790513836,0.5003031992688883,0.05535716086954922,174.0,0.0,0.4838709677419355,0.508000508000762,0.06454972243679004,269.0,1.0,0.5005917159763313,0.5002957705079724,-0.0023668655627368516,90.0,0.0,0.4642857142857143,0.5017182181223533,0.14322297480788637,306.0,0.0,0.4768211920529801,0.5011245631722411,0.09281501648716844,84.0,1.0
100,Fail,0.49507389162561577,0.5005926063072738,0.019705389884155808,66.0,0.0,0.5083612040133779,0.5007681917269959,-0.03344949327077465,216.0,0.0,0.48659003831417624,0.5002995844683387,0.0536591489503068,249.0,0.0,0.5341176470588235,0.4994225300134313,-0.13678940931186379,215.0,0.0,0.5066666666666667,0.5033222956847166,-0.026669037353133432,109.0,0.0
200,Win,0.5096774193548387,0.5015267849728916,-0.03871692996897491,282.0,1.0,0.5,0.5091750772173156,0.0,251.0,1.0,0.4864864864864865,0.5020841085798794,0.05407380704358727,97.0,1.0,0.5217391304347826,0.5008901555916613,-0.08703882797784881,180.0,0.0,0.5153846153846153,0.5016965849269559,-0.0615676128719478,210.0,0.0
100,Fail,0.46153846153846156,0.5023980952928128,0.1543033499620917,36.0,0.0,0.5294117647058824,0.5041008302500836,-0.11785113019775799,168.0,1.0,0.5693430656934306,0.49698532996984757,-0.28007883660737565,109.0,0.0,0.474025974025974,0.5009540172765518,0.10403657528544945,144.0,0.0,0.4574468085106383,0.5008571924688408,0.17083256870359295,101.0,0.0
200,Win,0.46715328467153283,0.4998328642342944,0.13167129059564686,148.0,0.0,0.8,0.41403933560541256,-1.5,171.0,0.0,0.517814726840855,0.4999795228831695,-0.07130418056623467,251.0,0.0,0.42857142857142855,0.498846595926324,0.28867513459481264,229.0,0.0,0.5294117647058824,0.5006087488122836,-0.11785113019775784,90.0,0.0
100,Win,0.4787234042553192,0.4999271296359899,0.0851835419999917,76.0,0.0,0.5296167247386759,0.49999390849338743,-0.1186752740159801,184.0,0.0,0.44776119402985076,0.4977946004301118,0.2101050788156826,137.0,0.0,0.45652173913043476,0.5036101551853349,0.1745743121887939,79.0,0.0,0.5086705202312138,0.5013759800489813,-0.03468729675471585,145.0,0.0
200,Fail,0.5103448275862069,0.5016257095588517,-0.04138816964085306,106.0,0.0,0.51,0.5004006410899235,-0.040008002400800484,193.0,0.0,0.56,0.501426536422407,-0.24174688920761445,190.0,0.0,0.4939759036144578,0.5002148838969579,0.02409813463559447,206.0,0.0,0.48520710059171596,0.5012663591409504,0.05919751167305484,284.0,0.0
100,Win,0.5,0.5057805388588732,0.0,64.0,1.0,0.6571428571428571,0.48159399197793545,-0.6621221919717303,34.0,1.0,0.5,0.504524979109513,0.0,89.0,0.0,0.5,0.5042194840896107,0.0,38.0,0.0,0.5578231292517006,0.49834316861771966,-0.23285486545857187,45.0,0.0
200,Fail,0.5028571428571429,0.501426536422407,-0.011428758022062594,110.0,0.0,0.5153846153846153,0.5016965849269559,-0.0615676128719478,43.0,0.0,0.4166666666666667,0.5149286505444373,0.3380617018914062,141.0,0.0,0.49142857142857144,0.5006422400042403,0.034290753297255394,173.0,0.0,0.6181818181818182,0.4903101471559,-0.48651277256732794,196.0,0.0
100,Win,0.49282296650717705,0.50114884577723,0.028711091929429677,47.0,0.0,0.5106382978723404,0.5025671912722797,-0.042562826537937144,101.0,0.0,0.4608695652173913,0.5006479402040032,0.15700328159671148,44.0,0.0,0.4961748633879781,0.5002588083156932,0.015300994212838568,168.0,0.0,0.49544072948328266,0.5003595696266544,0.018237840300693826,119.0,0.0
200,Fail,0.48148148148148145,0.500584815639023,0.07412493166611059,128.0,0.0,0.48314606741573035,0.5025471382359389,0.06745406256199293,210.0,0.0,0.46078431372549017,0.4988674957145865,0.15734745152973242,298.0,0.0,0.4672489082969432,0.5000191523183952,0.13128631389341136,237.0,0.0,0.38461538461538464,0.5063696835418333,0.4743416490252567,290.0,0.0
100,Fail,0.5091059602649006,0.500124122486803,-0.03642988298403515,281.0,0.0,0.6923076923076923,0.4706787243316417,-0.8333333333333329,148.0,0.0,0.5209424083769634,0.5002163855473324,-0.08384321045153136,64.0,0.0,0.5952380952380952,0.49679577241454687,-0.38805700005813276,153.0,1.0,0.5161290322580645,0.508000508000762,-0.06454972243679008,140.0,0.0
200,Win,0.23529411764705882,0.4372373160976031,1.2480754415067654,60.0,0.0,0.5405405405405406,0.49947997905846986,-0.16269784336399226,213.0,0.0,0.5397849462365591,0.49895144038182987,-0.1596459761345244,72.0,0.0,0.5,0.5002537427212305,0.0,376.0,0.0,0.4796747967479675,0.49975603804353935,0.08136806936301487,318.0,0.0
100,Fail,0.5051935788479698,0.5002092523536567,-0.020775436184646924,128.0,0.0,0.4146341463414634,0.4956905524194548,0.34655164004183603,36.0,0.0,0.49624060150375937,0.5006135956166394,0.015038019057934487,82.0,0.0,0.5689655172413793,0.49665012977469586,-0.27852424952911653,63.0,0.0,0.5019815059445178,0.5003266495713318,-0.007926086019742042,117.0,0.0
