match_id,team,bot_support,bot_carry,mid,jungle,top,win
4735107136,200,ONMEFHN3_Nlx-U0VF0bx3HtpGWoYmz6r3Ic2jtvf4b9hMz7frBywc-4C,oI6U3ik7Vlze9osfcA34Deibe9NxJANUSlH9_xrhL6MPbmA,QCy5Ifp70lTyMfaavhZkIjDylcua1TpQUhv5c1I4SOajeIk,MwnJbqL_bEBkZweD151bA3HRd0sBX4GsZsYr_KrPsa_tDPs,U_0w2wilhUW1PHXn0Lw4Yh_QrxgC6XRtJgpd7uRDq0xrpvc,Win
4735893574,100,fpg9qyEfL85VEGjXPVxysQNv7IWmXOGsN2vWQRHfu388,DINHoO2vCgKqcC-1ruYAOxEi1JxvDDNLnmhoNGCcSC1x,cWqL2cQk9hE6Ib6YQAsx9xdGTNStFMvwrZMcqB-CTfo,VQdbtM7Yid1LKTD0PeVvjDyFnic2Nlq6M9-jS5PRG-wl,HYDhE2hRI73Rys5iK6LesDKuEK3siU970HXTrMzbnJAQECTkE50wPoG4,Win
4735893574,200,uWvfQppqkyLzXqI252JR-aJP6F270VuuotobnFNOQbZJzLOiMypx-1vb,VNY5lP1IiiOcmAORtKZmEJ3PgWt9XtT8xxI-ccNgHT96A0XFPiZ0ERN8,KjshfsAxrspRcQ_F2941wF_6fIuUUWl5q-qQy6C6H391,48JzeBzkdeZUCdiq88il0ZDGCD1uG7V2Z50dLKFoBb8q,ogyrfI21vY3f1wuH0Uv6jEovdLZ0csgaM3867GU22fkM,Fail
4714135624,100,GT5lDosGOoQXyzYMD0VP7Oy2RKOBDhZ4Tp3D8qC7MyPhw9203GnCNZN-,OYBxUeUoDaR48BhHGVssKlpX_pXV01eOjEbOa0VuLpM763U,4BsrcKN3mYYl8Y3eF3QwJ40KfP8BM-hxKumZgg8ByC3X,XGSFIgGJcTZGaCu0kx2Fj5TpAQa_6DfpYby9jw62yTbdDZir8MKaR7RL,jG82DbZco3fwnL5NKRbSeGHnsRhJNmbpjgkMmN3hmi2vlyLdin_-5GZT,Fail
4714135624,200,E36EepbfoUghGfyk2Q0bM-L-_wZOL77i-0I00LMe3oDZA17fRghX8OEN,jYR6i7fLjG08dDBW2FoukqEkRrHCtZw8tl6Ku17ISJ_8EaM,gwKRIrTFRw6b5lpAe56oh0BdztvYa_CyUF39KfFLKlDnIOs,hGYMLXFVEhQxwNq2XwyhPJ4LL5q-oVLUbID8ZzrmuH7Gt20,1MZBKbFweCZkOiWh72VIguEqKwR2XmUm34jsrBRcXvdEpX8,Win
4729765967,100,BiJi0kCODqjs1DlcqsU53YmxFTh9wvq6ZFgmRaQOiRq6GaesalK9lJ1M,FaMiFmI7fPGpTSmXR6RK6uIwMGFnpm1atI9iYaXQ7yH-uXOcSFuhZu39,5ZPh7zeobppExW2KSOP_tM4sbvB8Z72hNNKzK467R0iJvgU,9rxAzi1j7HilqIvVONc-vnMltzmhVodKUWrEK0vyhwvJjD-jp0aE6JS3,jOwUjm_cTnjPjibNYfizIfXj1Tny2GlyQQ-bye2c0Qu3COmIs3FlpVEQ,Win
4729765967,200,QKwJuEpw7oNBD6nE5ooPTmkluHOFZbKp7n078dp8iBE_,dGg4ueP14VB7rf5oI4I1RApEJoVs63DqKR1MVKwHJ4ACzcg,pFmJWogsfCShOcEM4Uy473uiSIvaF8PEUVl2iZuI82lpuw0bYZyiEZAm,xpsZvAO64sWf5Q0NeoECQDcP26XS100ztByw1txnZrVqCobdMugp954s,gwaAIVG4CTDgGpmKZ4ERIivIo26tSI8AqyL3B4Djsbpb,Fail
4634574939,100,o7SRtlA23TADkeqjpkC3lT1kw48MVo9H05nXRbQw6gdP,ZfEt2WxqYSbl5bKMmFzhAhtnxg0zuZ8UqOW4yP0HWdYc,HtA_27t8Y2-3ro_cOUWqzeDDGWlJLQxi6hHT4glUAVcjYSk,x-Ze9ux-2BkKHPkOpTxFqtll4qk4VR8K2uont114sUAj,7_ldXAetLiOO1CY3IAZ17vlOPjkhwdQSGkV_CkkONlvrQWo,Fail
4634574939,200,Dqnaiq1z3HrCT5Cj2SsgcKqCSlyvN-8VnJghVvP82dy_,a3NrAhWtEIOPTWKkaoArY_E2OujLkz33iCeQgCWmpvtL,w2m5RT7ajOIBqf-11407IbMzPOX32sovh27H0-TWqIJwNnabajiE1wWZ,1qTo5e_rfJOrk5zqHL_uc3zLhxRrsvOYco-_C5qTpVEHtpw,-r0GwDZcXcBlv7hCOzppz_brB-NU4LaKq30vcS_WxdY_,Win
4737761372,100,P0oCLJQAI75YjlXJZi_CGULPn-ZKzitj1FSQSmFbXWyC,EhlUgU0vehW_Fpz78wUjvklVoQqiCQeyvzo3ZABMrls2,4we9AOQZO5PWVqYbW9rlNJr9KLC-1Yxa0UG-oqqcB8YbSp0_RJVWZNJI,DRqcoefk4_B376lE1y6kLiNntKq5aFXYNd6zTsIN8e-dukM,9CC4GQnbWNuG3JzPyp1GvREyy-M8ljfTYuck-KCMufSjTSI,Fail
